Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"KHUSKHAS (GB)",2023,FILLY,"PALACE PIER (GB)","PAPAVER (GB)","Tom Clover",65,,,,,,,,,,,
"KI WOO (FR)",2020,GELDING,"COKORIKO (FR)","CALONGE (FR)","Oliver Greenall & Josh Guerriero",,,,,,,133,,,,,
"KIAH (IRE)",2024,FILLY,"AUSTRALIA (GB)","MERVILLE (FR)","Brian Meehan",78,,,,,,,,,,,
"KIANI KING (IRE)",2023,GELDING,"PERSIAN KING (IRE)","ERMINE RUBY (GB)","Hughie Morrison",63,,,,,,,,,,,
"KICKSAFTERSIX (IRE)",2016,GELDING,"SCORPION (IRE)","ASTALANDA (FR)",,,,,,,,96,,,88,,
"KICOUR LA (FR)",2020,GELDING,"NOM DE D'LA (FR)","PAQUERETTE DES CHAMPS (FR)","Ben Pauling",,,,,,,,,,128,,
"KIDS SAY LASTGOJOE (FR)",2020,GELDING,"BALKO (FR)","DAYA WIN (FR)",,,,,,,,93,,,93,,
"KIENTZHEIM (FR)",2020,FILLY,"ZANZIBARI (USA)","VIRFOLETTE (FR)","Ben Haslam",,,,,,,117,,,120,,
"KIGALI (GB)",2024,GELDING,"ZOUSTAR (AUS)","POLAR CIRCLE (USA)","Ollie Sangster",67,,,,,,,,,,,
"KIKIJO (FR)",2020,GELDING,"ESTEJO (GER)","CRACKBOUM (FR)",,,,,,,,,,,133,,
"KILBARRY HILL (GB)",2018,GELDING,"BLUE BRESIL (FR)","CAITYS JOY (GER)","Mike Sowersby",,,,,,,107,,,107,,
"KILDINAN PRINCE (IRE)",2019,GELDING,"LEADING LIGHT (IRE)","PRINCESS KNAPPING (IRE)","Emma Lavelle",,,,,,,,,,120,,
"KILFILUM WOODS (IRE)",2016,GELDING,"BEAT HOLLOW (GB)","CHERYLS ISLAND (IRE)","Francesca Poste",,,,,,,97,,,,,
"KILFRUSH BLUE (IRE)",2023,GELDING,"BLUE POINT (IRE)","QUEEN OF MAYFAIR (GB)","Ruth Carr",55,,,,,,,,,,,
"KILFRUSH DESERT (IRE)",2023,FILLY,"EARTHLIGHT (IRE)","NOURA STAR (IRE)","Kevin Ryan",68,-2,,,,,,,,,,
"KILKENNY WARRIOR (IRE)",2023,FILLY,"BLUE POINT (IRE)","MARINKA (FR)",,72,,,,,,,,,,,
"KILL THE GROOVE (IRE)",2020,FILLY,"GETAWAY (GER)","MIXIE THE PIXIE (IRE)","Karen Jewell",,,,,,,83,,,,,
"KILLAVIA (GB)",2023,FILLY,"HAVANA GREY (GB)","KILLERMONT STREET (IRE)","Rod Millman",87,,,,,,,,,,,
"KILLER CLOWN (IRE)",2014,GELDING,"GETAWAY (GER)","OUR SOIREE (IRE)","Miss Daisy White",,,,,,,123,,,,,
"KILLER WHALE (IRE)",2023,GELDING,"DARK ANGEL (IRE)","GREAT WHITE SHARK (FR)","Andrew Balding",74,-1,,,,,,,,,,
"KILLYBEGS JET LADY (IRE)",2017,FILLY,"JET AWAY (GB)","LITTLE TWINKLE (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,96,,,,,
"KILLYCARN (IRE)",2020,GELDING,"MOUNT NELSON (GB)","HAKEEKA (GB)","Joel Parkinson & Sue Smith",,,,,,,,,,104,,
"KILMAC AIR (IRE)",2023,FILLY,"DANDY MAN (IRE)","LADY BEWARE (IRE)","John & Sean Quinn",58,,,,,,,,,,,
"KILMEADEN (IRE)",2022,GELDING,"GALILEO (IRE)","AEGEAN GIRL (IRE)","Faye Bramley",90,,,,,,,,,,,
"KILMORE ROCK (IRE)",2019,GELDING,"SHIROCCO (GER)","CHAMPAYNE HALLIE (IRE)","Susan Corbett",,,,,,,,,,112,,
"KILNACARRA (IRE)",2017,GELDING,"PALAVICINI (USA)","LADY ANNELLIE (IRE)",,,,,,,,,,,80,,
"KILNESARE FLIGHT (IRE)",2020,GELDING,"MALINAS (GER)","KILNESARE KATE (IRE)","Donald McCain",,,,,,,,,,121,,
"KILNEW SUPREME (IRE)",2021,GELDING,"HARZAND (IRE)","LITTLEMISSFIT (IRE)","Paul Nicholls",,,,,,,,,,106,,
"KILWAUGHTER (IRE)",2020,GELDING,"MILAN (GB)","GLORY DAYS (GER)","Philip Hobbs & Johnson White",,,,,,,,,,125,,
"KILWORTH (IRE)",2020,FILLY,"ORDER OF ST GEORGE (IRE)","BE MY GESTURE (IRE)","Emma Lavelle",,,,,,,,,,109,,
"KIMBARA (GB)",2023,COLT,"NIGHT OF THUNDER (IRE)","INCHARGE (GB)","Richard Spencer",71,-1,,,,,,,,,,
"KIMEKO GLORY (GB)",2022,FILLY,"KAMEKO (USA)","APPLAUSE (IRE)","Charles Hills",68,-1,,,,,,,,,,
"KINBARA FIRSTDRAFT (IRE)",2019,GELDING,"KOROPICK (IRE)","KIMBERELY BAY (IRE)","Leonard Kerr",,,,,,,95,,,105,,
"KIND OF BLUE (GB)",2021,COLT,"BLUE POINT (IRE)","BLUES SISTER (GB)","James Fanshawe",112,,,,,,,,,,,
"KIND OF KISS (GB)",2021,GELDING,"SEA THE STARS (IRE)","EXPRESSIY (FR)","Sam England",80,,,,,,,,,,,
"KIND TOUCH (IRE)",2023,GELDING,"KODI BEAR (IRE)","QALAHARI (IRE)","Richard & Peter Fahey",80,,,,,,,,,,,
"KINDEST NATION (IRE)",2021,FILLY,"SIOUX NATION (USA)","THE DYLAN SHOW (IRE)","Hugo Palmer",72,-1,,,,,,,,,,
"KINDLY QUEEN (IRE)",2023,FILLY,"NATHANIEL (IRE)","QUEEN KAZEEM (GB)","Christopher Kellett",63,,,,,,,,,,,
"KINETIC FORCE (GB)",2022,GELDING,"LAND FORCE (IRE)","KINEMATIC (GB)","Ruth Carr",80,,,,,,,,,,,
"KINETIC IMPACT (GB)",2023,COLT,"ZELZAL (FR)","KITKITTY (FR)","Charles Hills",77,,,,,,,,,,,
"KING AL (GB)",2022,GELDING,"AL KAZEEM (GB)","RHOSSILI DOWN (GB)",,75,,,,,,,,,123,,
"KING BERRY (IRE)",2021,GELDING,"KINGSTON HILL (GB)","FROSTY BERRY (GB)","Max Comley",,,,,,,,,,87,,
"KING CABO (USA)",2019,GELDING,"CARPE DIEM (USA)","CABO QUEEN (CAN)",,57,,,,,,,,,,,
"KING CALIFET (IRE)",2019,GELDING,"CALIFET (FR)","ROSA FLEET (IRE)","Emma Lavelle",,,,,,,114,,,,,
"KING CASEY (IRE)",2020,GELDING,"KINGSTON HILL (GB)","THE REAL CASEY (IRE)","Joanne Foster",,,,,,,,,,78,,
"KING CASPER (IRE)",2022,GELDING,"SHAMAN (IRE)","SELFARA (GB)","Antony Brittain",81,,,,,,,,,,,
"KING CHAOS (IRE)",2021,GELDING,"KINGMAN (GB)","MARIGOLD HOTEL (IRE)","Rebecca Menzies",62,-2,,,,,,,,,,
"KING CHERRY (IRE)",2023,GELDING,"KING OF CHANGE (GB)","NEFETARI (GB)","Stuart Williams",57,,,,,,,,,,,
"KING DAVID (IRE)",2021,GELDING,"EXCEED AND EXCEL (AUS)","LADY ROSAMUNDE (GB)","Gay Kelleway",53,-2,,,,,,,,,,
"KING GOLD BOY (FR)",2020,GELDING,"BRAVE MANSONNIEN (FR)","OTHER DU BERLAIS (FR)","Jean McGregor",,,,,,,,,,63,,
"KING HIGH (GB)",2024,COLT,"KINGMAN (GB)","BELLA NOUF (GB)","Owen Burrows",89,new,,,,,,,,,,
"KING HORSE (FR)",2020,GELDING,"TUNIS (POL)","URIELLE COLLONGES (FR)","Nicky Richards",,,,,,,87,,,87,,
"KING JON OLIVER (FR)",2020,GELDING,"KARAKTAR (IRE)","FIRENZA BELLA (FR)","Olly Murphy",,,,,,,,,,114,,
"KING KODIAK (IRE)",2019,GELDING,"ARCTIC COSMOS (USA)","MOSCOW MISTRESS (IRE)",,,,,,,,,,,80,,
"KING OF ANSWERS (IRE)",2019,GELDING,"MALINAS (GER)","QUEEN OF QUESTIONS (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,143,,,,,
"KING OF BEARS (IRE)",2022,GELDING,"KODI BEAR (IRE)","THALEIA (IRE)",,82,,,,,,,,,,,
"KING OF BERKSHIRE (IRE)",2023,COLT,"CAMELOT (GB)","FULL ROSE (GB)","Andrew Balding",80,,,,,,,,,,,
"KING OF CHAOS (IRE)",2023,GELDING,"SHOWCASING (GB)","ZEYRAN (IRE)","Dylan Cunha",78,,,,,,,,,,,
"KING OF CHARM (GB)",2021,GELDING,"CHARMING THOUGHT (GB)","ERMYNTRUDE (GB)","Martin Dunne",62,,,,,,,,,,,
"KING OF CONG (IRE)",2018,GELDING,"GAMUT (IRE)","BAWNMORE LASS (IRE)","Patrick Morris",,,,,,,78,,,,,
"KING OF EARTH (GB)",2023,COLT,"KINGMAN (GB)","SALACIA (IRE)","William Haggas",92,,,,,,,,,,,
"KING OF FURY (IRE)",2020,GELDING,"STARSPANGLEDBANNER (AUS)","BEQUIA (IRE)","Michael Dods",79,,,,,,,,,,,
"KING OF ITHACA (GB)",2020,GELDING,"ULYSSES (IRE)","RHAGORI (GB)","James Tate",71,,,,,,,,,,,
"KING OF LIGHT (GB)",2022,GELDING,"MEHMAS (IRE)","ON THE STAGE (GB)","Stuart Williams",97,,,,,,,,,,,
"KING OF MONTENEGRO (IRE)",2024,GELDING,"EARTHLIGHT (IRE)","PEACE TRAIL (GB)","Brian Meehan",70,,,,,,,,,,,
"KING OF PERSIA (GB)",2024,COLT,"BATED BREATH (GB)","VASHTI (GB)","Tim Easterby",57,,,,,,,,,,,
"KING OF SPEED (IRE)",2019,GELDING,"ACCLAMATION (GB)","MUSIC AND DANCE (GB)","Mark Loughnane",52,,,,,,,,,,,
"KING OF STARS (IRE)",2017,GELDING,"STARSPANGLEDBANNER (AUS)","GLOWING STAR (IRE)","Michael Appleby",85,,,80,,,,,,,,
"KING OF THE BRONX (IRE)",2021,GELDING,"DRAGON PULSE (IRE)","ROSIE HACKETT (IRE)","Syd Hosie",,,,,,,,,,108,new,
"KING OF THE DANCE (IRE)",2019,GELDING,"HAVANA GOLD (IRE)","FIGURANTE (IRE)","Bernard Llewellyn & Robert Williams",46,-2,,,,,,,,,,
"KING OF THE JUNGLE (IRE)",2020,GELDING,"BUNGLE INTHEJUNGLE (GB)","BONNE (GB)","Michael & David Easterby",64,,,,,,,,,,,
"KING OF THE LAKE (GB)",2018,GELDING,"KAYF TARA (GB)","SHANXI GIRL (GB)","Jeremy Scott",,,,,,,,,,123,,
"KING OF THE ROAD (IRE)",2019,GELDING,"SHIROCCO (GER)","DIAMOND GESTURE (IRE)","Ben Pauling",,,,,,,,,,109,,
"KING OF THE STORY (IRE)",2016,GELDING,"YEATS (IRE)","EPISODIQUE (IRE)","Polly Gundry",,,,,,,79,,,,,
"KING OF THEBES (GB)",2023,GELDING,"DUBAWI (IRE)","MOLLY MALONE (FR)",,72,,,,,,,,,,,
"KING OF THUNDER (GB)",2023,GELDING,"NIGHT OF THUNDER (IRE)","SUN TIDE (GB)","Hugo Palmer",78,,,,,,,,,,,
"KING OF WAR (GB)",2019,GELDING,"CHURCHILL (IRE)","MATERIALISTIC (GB)","Michael Wigham",65,-2,,,,,,,,,,
"KING OF YORK (IRE)",2019,GELDING,"KINGMAN (GB)","ARCHANGEL GABRIEL (USA)","Scott Dixon",66,,,,,,,,,,,
"KING OF YORKSHIRE (IRE)",2023,GELDING,"MAKE BELIEVE (GB)","URBAN BALL (IRE)",,50,,,,,,,,,,,
"KING ROLY (GB)",2019,GELDING,"SCORPION (IRE)","ROLL ON RUBY (IRE)","Mickey Bowen",,,,,,,119,,,,,
"KING SACRE (FR)",2020,GELDING,"BATHYRHON (GER)","ALTESSE SACREE (FR)","Nigel Hawke",,,,,,,,,,108,,
"KING SHARJA (GB)",2020,GELDING,"KINGMAN (GB)","SHARJA QUEEN (GB)","Ruth Carr",51,-2,,,,,,,,,,
"KING TURGEON (FR)",2018,GELDING,"TURGEON (USA)","KING'S CRYSTAL (GB)","David Pipe",,,,,,,133,,,,,
"KING ULANDA (IRE)",2020,GELDING,"KINGSTON HILL (GB)","ULANDA (IRE)","Oliver Greenall & Josh Guerriero",,,,,,,118,,,115,,
"KING VICTORIOUS (IRE)",2023,GELDING,"STARMAN (GB)","DAMASK (IRE)",,57,,,,,,,,,,,
"KING'S CALL (IRE)",2022,GELDING,"DANDY MAN (IRE)","PLAY MATE (GB)","Lawrence Mullaney",74,,,,,,,,,,,
"KING'S CASTLE (IRE)",2017,GELDING,"CAMELOT (GB)","KIKONGA (GB)","David Simcock",67,,,,,,,,,,,
"KING'S CAVALRY (GB)",2023,COLT,"KINGMAN (GB)","WADAA (USA)","James Tate",85,,,,,,,,,,,
"KING'S CHARTER (IRE)",2022,GELDING,"KINGMAN (GB)","DANE STREET (USA)","Charlie Appleby",104,,,,,,,,,,,
"KING'S CODE (GB)",2020,GELDING,"SAXON WARRIOR (JPN)","POLYGON (USA)","David Evans",94,-1,,,,,,,,,,
"KING'S COURTIER (GB)",2023,GELDING,"BATED BREATH (GB)","QUEEN'S CHARTER (GB)",,46,,,,,,,,,,,
"KING'S CROWN (IRE)",2020,GELDING,"STARSPANGLEDBANNER (AUS)","TEXTURED (IRE)","Michael Dods",69,,,,,,,,,,,
"KING'S CRUISER (GB)",2022,COLT,"TELESCOPE (IRE)","BAILA ME (GER)","James Owen",59,,,,,,,,,,,
"KING'S GAMBIT (IRE)",2021,GELDING,"SAXON WARRIOR (JPN)","PURE SYMMETRY (USA)","Harry Charlton",108,,,,,,,,,,,
"KING'S HAND (GB)",2022,GELDING,"KINGMAN (GB)","ENTITY (GB)","Joseph Parr",75,,,,,,,,,,,
"KING'S LYNN (GB)",2017,GELDING,"CABLE BAY (IRE)","KINEMATIC (GB)",,87,,,,,,,,,,,
"KING'S PRIZE (GB)",2024,FILLY,"TOO DARN HOT (GB)","AWARD SCHEME (GB)","Ralph Beckett",80,,,,,,,,,,,
"KING'S ROAD DANDY (IRE)",2023,GELDING,"DANDY MAN (IRE)","MAGICAL SUMMER (IRE)","David & Nicola Barron",65,,,,,,,,,,,
"KING'S SCHOLAR (IRE)",2021,GELDING,"AWTAAD (IRE)","SCHOLARLY (GB)","Olly Murphy",,,,,,,,,,123,,
"KING'S SCHOOL (GB)",2021,GELDING,"LIGHTNING SPEAR (GB)","ELENORA DELIGHT (GB)","Gemma Tutty",77,,,,,,,,,,,
"KING'S THRESHOLD (IRE)",2017,GELDING,"YEATS (IRE)","PEARL BUTTONS (GB)","Emma Lavelle",,,,,,,134,,,,,
"KING'S TRAIL (GB)",2023,COLT,"SEA THE STARS (IRE)","CROWN WALK (GB)","Charlie Appleby",107,,,,,,,,,,,
"KING'S TRUST (GB)",2023,GELDING,"KINGMAN (GB)","AWARD SCHEME (GB)","George Baker",85,,,,,,,,,,,
"KING'S VANITY (GB)",2020,GELDING,"KINGMAN (GB)","POET'S VANITY (GB)","Marcus Tregoning",75,,,,,,,,,,,
"KINGCORMAC (IRE)",2016,GELDING,"SHIROCCO (GER)","ON THE UP (IRE)","Joe Tickle",,,,,,,97,,,,,
"KINGDOM COME (IRE)",2019,GELDING,"KINGMAN (GB)","MONAMI (GER)","Clive Cox",93,,,99,,,,,,,,
"KINGDOM OF STARS (FR)",2021,GELDING,"CLOTH OF STARS (IRE)","PASSING BURG (FR)","Kerry Lee",70,-4,,,,,,,,97,,
"KINGKEER (GB)",2021,GELDING,"KINGMAN (GB)","KEERTANA (USA)",,67,,,,,,,,,,,
"KINGOFTHECARNIVAL (FR)",2023,GELDING,"VICTOR LUDORUM (GB)","DO IT IN RIO (FR)",,59,,,,,,,,,,,
"KINGOFTHEFRONTIER (GB)",2021,GELDING,"FRONTIERSMAN (GB)","YOOHOOF (GB)","John Dawson",,,,,,,,,,112,,
"KINGOFTHEGAME (IRE)",2018,GELDING,"KINGSTON HILL (GB)","SAND LADY (GB)","Martin Todhunter",,,,,,,82,,,84,,
"KINGOFTHESWINGERZ (IRE)",2019,GELDING,"DIAMOND BOY (FR)","MISS BALOO (IRE)","Harriet Dickin",,,,,,,96,,,,,
"KINGS CHAMPION (FR)",2020,GELDING,"JEU ST ELOI (FR)","JOLY NELSA (FR)","Olly Murphy",,,,,,,,,,124,,
"KINGS COLLEGE (IRE)",2022,GELDING,"CHURCHILL (IRE)","HEROIC HEART (FR)",,55,,,,,,,,,,,
"KINGS MERCHANT (GB)",2021,GELDING,"BATED BREATH (GB)","RHOSSILI DOWN (GB)","Philip Kirby",63,,,,,,,,,,,
"KINGS ORDER (IRE)",2021,GELDING,"ORDER OF ST GEORGE (IRE)","GISELA (IRE)","Mrs C. Williams",,,,,,,76,,,76,,
"KINGSCLERE (USA)",2022,FILLY,"KITTEN'S JOY (USA)","SWEETER STILL (IRE)",,55,,,,,,,,,,,
"KINGSTON BRESIL (GB)",2020,GELDING,"BLUE BRESIL (FR)","SUMMERVALE (IRE)","Lawney Hill",,,,,,,,,,97,,
"KINGSTON KID (IRE)",2017,GELDING,"KINGSTON HILL (GB)","MILLYS GESTURE (IRE)","Georgie Howell",,,,,,,,,,77,,
"KINGSTON NARCISSUS (FR)",2019,GELDING,"AUTHORIZED (IRE)","KINGSTON ACACIA (GB)","Dan Skelton",,,,,,,130,,,,,
"KINGSTON QUEEN (IRE)",2020,FILLY,"KINGSTON HILL (GB)","COMPETITIVE AFFAIR (IRE)","David Pipe",,,,,,,,,,127,,
"KINGSTON ROCK (IRE)",2018,GELDING,"KINGSTON HILL (GB)","ROCK HIGH LADY (IRE)",,,,,,,,71,,,,,
"KINGSTON SUNFLOWER (FR)",2017,FILLY,"AUTHORIZED (IRE)","KINGSTON ACACIA (GB)","Fergal O'Brien",45,,,,,,,,,116,,
"KINIRO (GB)",2022,GELDING,"HAVANA GOLD (IRE)","INDIGNANT (GB)","Dan Horsford",77,-1,,,,,,,,,,
"KINNALARGY (GB)",2023,GELDING,"HAVANA GREY (GB)","ROSE RANSOM (IRE)","Kevin Ryan",78,,,,,,,,,,,
"KINO PLASMAT (IRE)",2023,FILLY,"WOOTTON BASSETT (GB)","LONDON PLANE (IRE)","Ed Walker",69,,,,,,,,,,,
"KINROSS CLARET (IRE)",2022,GELDING,"SOLDIER'S CALL (GB)","HOPE AGAINST HOPE (IRE)","Lucinda Russell & Michael Scudamore",58,,,,,,,,,,,
"KINSWOMAN (GB)",2022,FILLY,"MEHMAS (IRE)","LADYSHIP (GB)","William Haggas",86,-2,,,,,,,,,,
"KINTAIL (GB)",2019,GELDING,"BLUE BRESIL (FR)","SPEED BONNIE BOAT (GB)","Mel Rowley",,,,,,,,,,107,,
"KIPEPEO (GB)",2023,FILLY,"TIME TEST (GB)","MELODY OF LOVE (GB)",,56,,,,,,,,,,,
"KIPP KELLY (GB)",2021,GELDING,"TIME TEST (GB)","TAHLIA REE (IRE)","Derek Shaw",50,,,,,,,,,,,
"KIRCHNER (IRE)",2022,GELDING,"PINATUBO (IRE)","KAMBURA (FR)","James Owen",97,,,,,,,,,,,
"KIRKDALE (IRE)",2022,GELDING,"ZELZAL (FR)","AL MARKHIYA (IRE)","Edward Bethell",79,,,,,,,,,,,
"KISIYRA (IRE)",2021,FILLY,"SEA THE MOON (GER)","KISANGA (IRE)","David Thompson",70,,,,,,,,,,,
"KISS AND RUN (GB)",2021,FILLY,"TWILIGHT SON (GB)","DESERT KISS (GB)","Rachel Cook & John Bridger",68,,,,,,,,,,,
"KISS CAM (IRE)",2024,FILLY,"NANDO PARRADO (GB)","LAW KEEPER (IRE)","Richard Hughes",58,new,,,,,,,,,,
"KISS FOR AN ANGEL (IRE)",2023,GELDING,"DARK ANGEL (IRE)","KISS FOR A JEWEL (IRE)","Simon Hodgson",62,,,,,,,,,,,
"KISS ME MY LOVE (IRE)",2022,FILLY,"INVINCIBLE SPIRIT (IRE)","LOVE STREET (USA)","Roger Fell",67,,,,,,,,,,,
"KISSKODI (IRE)",2022,GELDING,"KODI BEAR (IRE)","SUMMERSEAT MIST (IRE)","Harry Eustace",87,,,,,,,,,,,
"KISSMEHONEYHONEY (GB)",2022,FILLY,"CRYSTAL OCEAN (GB)","BUILDMEUPBUTTERCUP (GB)","William Haggas",79,,,,,,,,,,,
"KIT GABRIEL (IRE)",2019,GELDING,"KODIAC (GB)","MALEHA (IRE)","Simon Pearce",67,,,,,,,,,,,
"KIT THE CHRISTIAN (IRE)",2020,GELDING,"GETAWAY (GER)","BALLCRINA GIRL (IRE)",,,,,,,,,,,71,,
"KIT'S COTY (IRE)",2018,FILLY,"BLACK SAM BELLAMY (IRE)","GREAT JANE (FR)","Emma Lavelle",,,,,,,91,,,,,
"KITAAB (GB)",2019,GELDING,"SHOWCASING (GB)","LIFE OF PI (GB)","Philip Kirby",48,,,,,,,,,,,
"KITARO KICH (IRE)",2020,GELDING,"KARAKONTIE (JPN)","THE TULIP (IRE)","George Baker",64,-1,,76,-1,,,,,,,
"KITSILANO (IRE)",2017,GELDING,"FAME AND GLORY (GB)","LIZ'S D'ESTRUVAL (IRE)","David Bridgwater",,,,,,,92,,,,,
"KITSUNE POWER (IRE)",2019,GELDING,"HOLY ROMAN EMPEROR (IRE)","FIRE HEROINE (USA)","Tim Easterby",58,-1,,,,,,,,,,
"KITTENS GIFT (IRE)",2022,FILLY,"KITTEN'S JOY (USA)","MANASAROVA (USA)",,43,,,,,,,,,,,
"KITTY FOYLE (IRE)",2020,FILLY,"TEOFILO (IRE)","KAZIMIERA (GB)","Daisy Hitchins",70,,,,,,,,,121,,
"KITTY'S DREAM (IRE)",2022,GELDING,"KODIAC (GB)","ROCKTIQUE (USA)",,50,,,,,,,,,,,
"KITTY'S LIGHT (GB)",2016,GELDING,"NATHANIEL (IRE)","DARAIYNA (FR)","Christian Williams",,,,,,,127,,,,,
"KITTYS GLANCE (GB)",2021,FILLY,"PASSING GLANCE (GB)","MIDNIGHT CATARIA (GB)","Alan King",,,,,,,,,,104,,
"KIWI DE COTTE (FR)",2020,GELDING,"ESTEJO (GER)","VAHINE DE COTTE (FR)","Dan Skelton",,,,,,,117,new,,117,+6,
"KIWI RUSH (IRE)",2020,GELDING,"MAHLER (GB)","DON'T FORSIT (IRE)","Harry Derham",,,,,,,,,,110,,
"KLAPTON BOY (FR)",2020,GELDING,"BRAVE MANSONNIEN (FR)","CHOISILLE (FR)","Nick Kent",,,,,,,,,,85,,
"KLASSLEADER (GB)",2022,COLT,"LOPE DE VEGA (IRE)","KLASSIQUE (GB)","William Haggas",98,,,,,,,,,,,
"KLASSY PEARL (FR)",2020,FILLY,"TUNIS (POL)","PERLE SAINTE (FR)","Clive Boultbee-Brooks",,,,,,,,,,100,,
"KLERVIA (FR)",2020,FILLY,"KAMSIN (GER)","CAVADEE (FR)","Barry Brennan",,,,,,,,,,76,,
"KLIC BOUM (FR)",2020,GELDING,"BUCK'S BOUM (FR)","ULA DE MAI (FR)","Mrs C. Williams",,,,,,,,,,94,,
"KLIMT MADRIK (FR)",2020,GELDING,"CHOEUR DU NORD (FR)","WISHING WELL (FR)","Toby Lawes",,,,,,,,,,143,,
"KLITSCHKO (GB)",2018,GELDING,"BLUE BRESIL (FR)","ARCTIC ACTRESS (GB)","Lucinda Hughes",,,,,,,117,,,117,,
"KLUB DE REVE (FR)",2020,GELDING,"FLY WITH ME (FR)","SILOUETTE DE REVE (FR)","Harry Derham",,,,,,,,,,132,,
"KLYCOT (FR)",2022,GELDING,"THE GREY GATSBY (IRE)","QUEEN BUBBLE (IRE)","Richard Bandey",,,,,,,,,,129,,
"KNACKER TRAPPER (IRE)",2018,GELDING,"COURT CAVE (IRE)","PRESENT LINE (IRE)","Andrew Crook",,,,,,,,,,84,,
"KNAPPERS HILL (IRE)",2016,GELDING,"VALIRANN (FR)","BROGELLA (IRE)","Paul Nicholls",,,,,,,138,,,138,,
"KNEAD A WIN (FR)",2020,GELDING,"AUTHORIZED (IRE)","EAU BERGE DES ILES (FR)","Sam Thomas",,,,,,,,,,122,,
"KNEBWORTH (GB)",2020,GELDING,"AWTAAD (IRE)","STEREOPHONIC (IRE)","Richard Hughes",92,,,,,,,,,,,
"KNICKERBOCKER (FR)",2022,FILLY,"LE HAVRE (IRE)","LADY KATANGA (GB)",,75,,,,,,,,,,,
"KNICKERBOCKERGLORY (IRE)",2016,GELDING,"FAME AND GLORY (GB)","THE BRASS LADY (IRE)","Dan Skelton",,,,,,,,,,138,,
"KNICKS (IRE)",2021,GELDING,"INVINCIBLE SPIRIT (IRE)","KATLA (IRE)","Michael & David Easterby",62,,,,,,,,,,,
"KNIGHT OF ALLEN (FR)",2020,GELDING,"MASTERSTROKE (USA)","ATACAMES (FR)","Mrs Jane Williams",,,,,,,127,,,,,
"KNIGHT OF GLORY (USA)",2023,GELDING,"KNICKS GO (USA)","MY FAVORITE DAY (USA)","David Menuisier",79,,,,,,,,,,,
"KNIGHT OF MAGIC (IRE)",2019,GELDING,"DECORATED KNIGHT (GB)","MAGIC MINOR (IRE)",,51,,,,,,,,,82,,
"KNIGHT OF STORMS (IRE)",2023,COLT,"CAMELOT (GB)","LIGHTNING THUNDER (GB)","David Simcock",59,,,,,,,,,,,
"KNIGHT TEMPLAR (FR)",2020,GELDING,"AUTHORIZED (IRE)","QUATRE BLEUE (FR)","Richard Bandey",,,,,,,,,,93,,
"KNIGHT TEMPLAR (GB)",2021,GELDING,"HAAFHD (GB)","JEWELLED (GB)","Robert Stephens",75,-1,,,,,,,,109,,
"KNIGHTMARE (IRE)",2022,GELDING,"MEHMAS (IRE)","FRENCH BATTLE (USA)","David Evans",54,,,,,,,,,,,
"KNIGHTON (GB)",2022,GELDING,"FARHH (GB)","HAYDN'S LASS (GB)","Oliver Greenall & Josh Guerriero",,,,,,,,,,100,,
"KNIGHTS CHARGE (IRE)",2023,COLT,"LUCKY VEGA (IRE)","AIMHIRGIN LASS (IRE)","Roger Varian",91,,,,,,,,,,,
"KNIGHTS GOLD (IRE)",2022,GELDING,"DARK ANGEL (IRE)","SAMIRA GOLD (FR)","Tom Ward",80,,,,,,,,,,,
"KNIGHTSAIL (IRE)",2023,GELDING,"CAMELOT (GB)","OSAILA (IRE)","David Menuisier",75,,,,,,,,,,,
"KNIGHTSBRIDGE (FR)",2020,GELDING,"TIRWANAKO (FR)","FAIT LA BELLE (FR)","Jonjo & A.J. O'Neill",,,,,,,95,,,,,
"KNIGHTSWOOD (IRE)",2019,GELDING,"DECORATED KNIGHT (GB)","NEUQUEN (IRE)","Charlie Johnston",89,,,,,,,,,,,
"KNOCK OFF SOXS (IRE)",2021,GELDING,"SHIROCCO (GER)","ENCHANTED MOMENT (GB)","Kayley Woollacott",,,,,,,,,,111,,
"KNOCK THREE TIMES (IRE)",2024,FILLY,"SUPREMACY (IRE)","WHITE DAFFODIL (IRE)","Jamie Osborne",74,,,,,,,,,,,
"KNOCKANORE (IRE)",2017,GELDING,"SHANTOU (USA)","BALLYOSCAR (IRE)",,,,,,,,112,,,,,
"KNOCKBREX (GB)",2020,GELDING,"ULYSSES (IRE)","PROMINENCE (GB)",,81,,,,,,,,,,,
"KNOCKERANNA ROSE (IRE)",2020,GELDING,"CLOUDINGS (IRE)","TOARMANDOWITHLOVE (IRE)","Susan Corbett",,,,,,,,,,78,,
"KNOMOREDIAMONDS (FR)",2020,GELDING,"BALKO (FR)","VIE SA VIE (FR)","Lucinda Russell & Michael Scudamore",,,,,,,,,,123,,
"KNOWLEDGE (GB)",2023,GELDING,"SEA THE STARS (IRE)","BESPANGLED (IRE)","Simon & Ed Crisford",74,,,,,,,,,,,
