Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"ADBA (FR)",2023,FILLY,"STARSPANGLEDBANNER (AUS)","AJAYEB (IRE)","Faye Bramley",57,,,,,,,,,,,
"ADDARELLA (IRE)",2022,FILLY,"EARTHLIGHT (IRE)","RIBBLE (FR)","Scott Dixon",65,,,70,,,,,,,,
"ADDICTIVE (IRE)",2022,GELDING,"KODIAC (GB)","DIERAMA (IRE)","Craig Benton",55,,,,,,,,,,,
"ADDISON GREY (GB)",2022,GELDING,"HAVANA GREY (GB)","MOON SONG (GB)","Clive Cox",97,+4,,,,,,,,,,
"ADDMANN (GB)",2023,GELDING,"ADVERTISE (GB)","LADY LUSTRE (GB)","Joe Tickle",39,,,,,,,,,,,
"ADE BOY (IRE)",2021,GELDING,"BULLET TRAIN (GB)","L'ETOILE DU NORD (IRE)","Charlie Longsdon",,,,,,,,,,108,,
"ADELAIDE BAY (GB)",2022,GELDING,"NEW BAY (GB)","VITAMIN (IRE)","Jane Chapple-Hyam",54,,,,,,,,,,,
"ADIADA (GB)",2023,FILLY,"POSTPONED (IRE)","ANTICO LADY (IRE)","Michael Dods",67,-2,,,,,,,,,,
"ADJUVANT (IRE)",2019,GELDING,"NEW BAY (GB)","LEVANTO (IRE)",,79,,,,,,,,,,,
"ADMIRAL STEWART (IRE)",2019,GELDING,"SOLDIER OF FORTUNE (IRE)","IVY QUEEN (IRE)","Jamie Snowden",,,,,,,115,,,,,
"ADMIRALTY HOUSE (GB)",2019,GELDING,"SEA THE STARS (IRE)","AKRIVI (IRE)",,,,,,,,,,,109,,
"ADONEDEAL (IRE)",2020,GELDING,"CALIFET (FR)","SHOKALOCKA BABY (IRE)","Olly Murphy",,,,,,,,,,116,,
"ADONIUS (IRE)",2024,GELDING,"SOLDIER'S CALL (GB)","DUBAI PARADISE (IRE)","Rebecca Menzies",101,,,,,,,,,,,
"ADORAMUS (FR)",2024,COLT,"ZOUSTAR (AUS)","TASLEYA (GB)","Jack Morland",64,,,,,,,,,,,
"ADORES (IRE)",2023,FILLY,"BATED BREATH (GB)","ADORE (GB)","Roger Teal",53,,,,,,,,,,,
"ADRESTIA (GB)",2022,FILLY,"HAVANA GREY (GB)","IN TRUTINA (GB)","Simon & Ed Crisford",92,,,,,,,,,,,
"ADRIAN (GER)",2017,GELDING,"RELIABLE MAN (GB)","ANNA DESTA (GER)","Bernard Llewellyn & Robert Williams",50,,,,,,,,,,,
"ADVANCE TWENTYFIVE (FR)",2023,GELDING,"VICTOR LUDORUM (GB)","SELFSAME (USA)","Richard & Peter Fahey",82,,,,,,,,,,,
"ADVANCING (GB)",2022,GELDING,"LOPE DE VEGA (IRE)","INTISAAR (USA)","Marco Botti",83,,,87,,,,,,,,
"ADVERAM (GB)",2019,GELDING,"WALK IN THE PARK (IRE)","LOCHNELL (IRE)",,,,,,,,93,,,93,,
"ADVERTISED (IRE)",2023,GELDING,"ADVERTISE (GB)","MISS CARBONIA (IRE)","Grant Tuer",91,,,,,,,,,,,
"ADVERTORIAL (GB)",2022,FILLY,"ADVERTISE (GB)","SOLAR ECHO (IRE)","Daniel O'Brien",49,,,,,,,,,,,
"AEGEAN PRINCE (GB)",2022,GELDING,"DUBAWI (IRE)","MUSIS AMICA (IRE)","Charlie Appleby",99,,,,,,,,,,,
"AEOLIAN (GB)",2022,FILLY,"FASTNET ROCK (AUS)","DESERT BREEZE (GB)",,90,,,,,,,,,,,
"AEQUITAS (FR)",2022,FILLY,"SEA THE MOON (GER)","HOUSELADY (FR)","David O'Meara",90,,,,,,,,,,,
"AERIAL SILK (GB)",2023,GELDING,"BATED BREATH (GB)","MULBERRY SILK (GB)","David Menuisier",69,,,,,,,,,,,
"AEROPLANE BLONDE (GB)",2020,GELDING,"BLUE BRESIL (FR)","NUALA (GB)","Samuel Drinkwater",,,,,,,,,,100,,
"AEROS LUCK (IRE)",2019,GELDING,"MY DREAM BOAT (IRE)","SAPERE AUDE (IRE)","Sandy Thomson",,,,,,,123,,,,,
"AFADIL (FR)",2019,GELDING,"CAMELOT (GB)","AFSHEEN (FR)","Paul Nicholls",,,,,,,,,,116,,
"AFANCY GETAWAY (IRE)",2020,FILLY,"GETAWAY (GER)","NORAS FANCY (IRE)","Ben Pauling",,,,,,,,,,108,,
"AFFECTION (FR)",2023,FILLY,"BOW CREEK (IRE)","FRAGRANCE (FR)","David Pipe",77,,,,,,,,,,,
"AFFETTUOSO (GB)",2023,COLT,"NEW BAY (GB)","CABALETTA (GB)","Roger Varian",79,,,,,,,,,,,
"AFRAJ (IRE)",2023,FILLY,"IFFRAAJ (GB)","SARSHAMPLA (IRE)","John & Thady Gosden",76,,,,,,,,,,,
"AFRICAN GIB (GB)",2023,GELDING,"TERRITORIES (IRE)","BUXLOW BELLE (FR)","David Menuisier",59,,,,,,,,,,,
"AFRICAN SPIRIT (IRE)",2021,GELDING,"SHOWCASING (GB)","AFRICAN SKIES (GB)","Ian Williams",52,,,,,,,,,,,
"AFTER LOVE (IRE)",2022,FILLY,"NO NAY NEVER (USA)","WEEKEND FLING (USA)",,68,,,,,,,,,,,
"AFTER MANY DAYS (GB)",2019,FILLY,"GETAWAY (GER)","LAST OF HER LINE (GB)","Henry Daly",,,,,,,,,,90,,
"AFTER MIDNIGHT (GB)",2017,FILLY,"SULAMANI (IRE)","MIDNIGHT OCEAN (GB)","Julian Smith",,,,,,,,,,72,,
"AFTER THE BALL (IRE)",2021,FILLY,"WALK IN THE PARK (IRE)","CEILIDH ROYAL (GB)",,,,,,,,80,,,80,,
"AFTON DOWN (GB)",2023,GELDING,"TIME TEST (GB)","SPINACRE (IRE)","James Tate",75,,,,,,,,,,,
"AGAINST THE WIND (GB)",2022,GELDING,"EARTHLIGHT (IRE)","RASHAAQA (GB)","Kevin Ryan",97,,,,,,,,,,,
"AGAMEMNON (GB)",2024,COLT,"MEHMAS (IRE)","BERMUDA (GB)","Richard Hughes",104,,,,,,,,,,,
"AGE OF BAROQUE (FR)",2021,GELDING,"LOPE DE VEGA (IRE)","GOLDEN LILAS (IRE)","Jessica Macey",65,,,,,,,,,,,
"AGE OF TIME (FR)",2021,GELDING,"DUBAWI (IRE)","MULAN (IRE)","Steph Hollinshead",57,,,,,,,,,,,
"AGENT ARGYLLE (IRE)",2020,GELDING,"MAHLER (GB)","HATTIE HOPKINSON (IRE)","Richard Phillips",,,,,,,,,,89,,
"AGGAGIO (FR)",2018,GELDING,"BORN TO SEA (IRE)","RAVAGE (GB)","Gary & Josh Moore",74,,,,,,,,,97,,
"AGITATOR (GB)",2024,GELDING,"CRACKSMAN (GB)","INCHARGE (GB)","Oliver Cole",74,,,,,,,,,,,
"AGNES HATHAWAY (GB)",2024,FILLY,"OSCAR PERFORMANCE (USA)","SAINT LUCIE (GB)","Joseph Parr",53,,,,,,,,,,,
"AGRIC RANGER (GB)",2023,GELDING,"ACLAIM (IRE)","SPIRIT RANGER (IRE)","Tim Easterby",48,,,,,,,,,,,
"AGRIPPA (IRE)",2024,COLT,"NAVAL CROWN (GB)","ZAAKHIR (IRE)","Richard Hannon",90,,,,,,,,,,,
"AGUELLID (FR)",2021,GELDING,"GOLIATH DU BERLAIS (FR)","GREEN HOPE (FR)","Philip Hobbs & Johnson White",,,,,,,,,,124,,
"AHAMOMENT (IRE)",2019,GELDING,"ALHEBAYEB (IRE)","TAISPEANTAS (IRE)","David & Nicola Barron",69,,,,,,,,,,,
"AHANAGLOGH (IRE)",2019,GELDING,"WATAR (IRE)","WIZZY (IRE)","Fergal O'Brien",,,,,,,85,,,85,,
"AHEAD OF FASHION (GB)",2023,GELDING,"DREAM AHEAD (USA)","FASHION (GB)","Dominic Ffrench Davis",62,,,,,,,,,,,
"AIGEAS (FR)",2023,GELDING,"KODI BEAR (IRE)","BONITA QUEEN (FR)","Oliver Cole",85,,,,,,,,,,,
"AIGHEAR (GB)",2018,FILLY,"FARHH (GB)","KABJOY (IRE)","Jim Goldie",50,,,,,,,,,,,
"AILL DUBH (IRE)",2017,GELDING,"SHANTOU (USA)","CAPTAIN CAROL (IRE)","Micky Hammond",,,,,,,77,,,,,
"AILT AN CHORRAIN (IRE)",2019,GELDING,"MAHLER (GB)","MAZAGEE (FR)","Patrick Neville",,,,,,,102,,,102,,
"AIM FOR THE BULL (IRE)",2022,GELDING,"SHOWCASING (GB)","ULTIMATE AIM (GB)","Mike Murphy",57,,,,,,,,,,,
"AIM STRAIGHT (GB)",2020,GELDING,"AUSTRALIA (GB)","HIGH HOPES (GB)",,,,,,,,,,,94,,
"AIMERIC (GB)",2019,GELDING,"FRANKEL (GB)","ARIS (IRE)","Jennie Candlish",104,,,,,,,,,96,,
"AIMING HIGH (GB)",2019,FILLY,"LOPE DE VEGA (IRE)","HIGH HOPES (GB)",,71,,,,,,,,,,,
"AIN'T NOBODY (IRE)",2022,GELDING,"SANDS OF MALI (FR)","BURMESE WALTZ (GB)","Kevin Ryan",104,,,,,,,,,,,
"AIN'T THAT A SHAME (IRE)",2014,GELDING,"JEREMY (USA)","CASTLETOWN GIRL (GB)","Tom Ellis",,,,,,,141,,,,,
"AIR APPARENT (IRE)",2020,GELDING,"JET AWAY (GB)","SCARLET RAMBLER (IRE)","Seamus Mullins",,,,,,,,,,101,,
"AIR FORCE ONE (IRE)",2021,GELDING,"STARSPANGLEDBANNER (AUS)","GREAT DAME (IRE)","Geoff Oldroyd",91,,,,,,,,,,,
"AIRE SPRAY (IRE)",2020,GELDING,"BERKSHIRE (IRE)","GETAWAY FRANJOE (IRE)","Joel Parkinson & Sue Smith",,,,,,,103,,,103,,
"AISLING OSCAR (IRE)",2021,GELDING,"RAJASINGHE (IRE)","GOODNIGHTSUZY (IRE)","Adrian Keatley",73,,,78,,,,,,,,
"AJ'S DIAMOND (IRE)",2020,FILLY,"HARZAND (IRE)","PEARL DIAMOND (IRE)","Chris Gordon",,,,,,,,,,115,,
"AJRAD (GB)",2018,GELDING,"NEW APPROACH (IRE)","PRINCESS CAMMIE (IRE)","Rod Millman",52,-1,,,,,,,,,,
"AKABUSI (GB)",2023,GELDING,"MOHAATHER (GB)","TODAY'S THE DAY (GB)","Micky Fenton",70,,,,,,,,,,,
"AKARAKA (GB)",2024,COLT,"GHAIYYATH (IRE)","LUIRE (IRE)","Michael Bell",71,,,,,,,,,,,
"AKHO MEZZNA (FR)",2023,GELDING,"MORE THAN READY (USA)","SEA OF SNOW (USA)","Jack Jones",79,,,,,,,,,,,
"AKIMOS (IRE)",2020,GELDING,"WESTERNER (GB)","REDEMPTION SONG (IRE)","Nicky Henderson",,,,,,,113,,,113,,
"AKIRRA (IRE)",2023,GELDING,"KODIAC (GB)","WISH FOR ME (IRE)","Clive Cox",76,,,,,,,,,,,
"AKKADIAN THUNDER (GB)",2020,GELDING,"NIGHT OF THUNDER (IRE)","AKHANIA (GB)","David O'Meara",88,,,,,,,,,,,
"AKRIVOS (IRE)",2023,GELDING,"BLUE POINT (IRE)","RIVER ROCK (IRE)","Ian Williams",46,,,,,,,,,,,
"AL AALI (FR)",2022,GELDING,"CITY LIGHT (FR)","LA ZUBIA (GB)","George Scott",98,,,,,,,,,,,
"AL AASY (IRE)",2017,GELDING,"SEA THE STARS (IRE)","KITCARA (GB)","William Haggas",112,,,,,,,,,,,
"AL AMIRAH (GB)",2023,FILLY,"MASAR (IRE)","AL HAYETTE (USA)",,52,,,,,,,,,,,
"AL ARBEED (GB)",2022,COLT,"NIGHT OF THUNDER (IRE)","QUEEN'S PEARL (IRE)","Richard Hannon",88,,,,,,,,,,,
"AL AZD (IRE)",2023,GELDING,"DUBAWI (IRE)","ZEYAADAH (IRE)","Roger Varian",109,,,,,,,,,,,
"AL BAAHY (GB)",2019,GELDING,"KINGMAN (GB)","SECRET KEEPER (GB)","Kevin & Lauren Frost",49,,,,,,,,,,,
"AL DURRY (GB)",2022,FILLY,"AMERICAN PHAROAH (USA)","VALE DORI (ARG)","Owen Burrows",84,,,,,,,,,,,
"AL FUJAIRAH (IRE)",2023,GELDING,"CHURCHILL (IRE)","SHAMANOVA (IRE)","Iain Jardine",70,new,,,,,,,,,,
"AL GHARIYA (FR)",2023,FILLY,"ZELZAL (FR)","AL JASSASIYAH (IRE)","Ian Williams",73,-2,,,,,,,,,,
"AL HOFZAN (IRE)",2022,GELDING,"KODIAC (GB)","HAWAFEZ (IRE)",,65,,,,,,,,,,,
"AL HUDAIBA (GB)",2024,COLT,"DARK ANGEL (IRE)","A'SHAARI (GB)","Charlie Appleby",111,,,,,,,,,,,
"AL HUSSAR (GB)",2022,GELDING,"BATED BREATH (GB)","QUEEN'S CHARTER (GB)","Grant Tuer",81,,,,,,,,,,,
"AL JOORY (IRE)",2022,FILLY,"MOHAATHER (GB)","YASMEEN (GB)",,85,,,,,,,,,,,
"AL KARRAR (IRE)",2020,GELDING,"DARK ANGEL (IRE)","MOGHAMARAH (GB)",,79,,,,,,,,,,,
